player,player_id,pass_angle,pass_length,under_pressure,pass_cross,pass_cut_back,pass_inswinging,pass_outswinging,pass_through_ball,pass_switch,pass_normal,location_x,location_y,pass_end_location_x,pass_end_location_y,play_pattern_from_corner,play_pattern_from_counter,play_pattern_from_free_kick,play_pattern_from_goal_kick,play_pattern_from_keeper,play_pattern_from_kick_off,play_pattern_from_throw_in,play_pattern_regular_play,pass_body_part_left_foot,pass_body_part_right_foot,pass_height_ground_pass,pass_height_high_pass,pass_height_low_pass,pass_completed
Francesc Fàbregas i Soler,3478,-0.08430673,7.125307,1,0,0,0,0,0,0,1,17.6,15.8,24.7,15.2,0,0,0,0,0,0,0,1,0,1,0,1,0,1
Eden Hazard,3621,3.1415927,2.5,0,0,0,0,0,0,0,1,56.5,77.8,54.0,77.8,0,0,0,0,0,0,0,1,0,1,0,0,1,1
Willian Borges da Silva,3472,-1.815775,16.492422,0,0,0,0,0,0,0,1,54.0,77.8,50.0,61.8,0,0,0,0,0,0,0,1,0,1,1,0,0,1
Nemanja Matić,3381,-0.67170376,41.13636,0,0,0,0,0,0,0,1,63.1,45.3,95.3,19.7,0,0,0,0,0,0,0,1,1,0,1,0,0,1
Gary Cahill,3645,1.5707964,10.6,0,0,0,0,0,0,0,1,56.5,0.1,56.5,10.7,0,0,0,0,0,0,1,0,0,1,0,0,1,1
Abdul Rahman Baba,12325,1.6935245,22.872036,0,0,0,0,0,0,0,1,57.5,6.6,54.7,29.3,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Nemanja Matić,3381,-0.57693297,7.5166483,0,0,0,0,0,0,0,1,54.7,29.3,61.0,25.2,0,0,0,0,0,0,1,0,1,0,1,0,0,1
Francesc Fàbregas i Soler,3478,2.3008187,31.939474,1,0,0,0,0,0,0,1,61.0,24.4,39.7,48.2,0,0,0,0,0,0,1,0,0,1,0,0,1,1
Kurt Happy Zouma,3456,-0.10598436,9.453042,0,0,0,0,0,0,0,1,44.0,62.2,53.4,61.2,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Eden Hazard,3621,1.1602745,30.319136,0,0,0,0,0,0,0,1,77.7,49.7,89.8,77.5,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Branislav Ivanović,5594,-2.2203457,9.920181,0,0,0,0,0,0,0,1,93.5,77.5,87.5,69.6,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Nemanja Matić,3381,-2.3561945,17.960512,0,0,0,0,0,0,0,1,86.3,49.7,73.6,37.0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
Gary Cahill,3645,1.6720531,18.796276,0,0,0,0,0,0,0,1,71.5,39.6,69.6,58.3,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Kurt Happy Zouma,3456,0.17826746,11.278741,0,0,0,0,0,0,0,1,70.9,61.4,82.0,63.4,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Willian Borges da Silva,3472,0.648332,12.420145,0,0,0,0,0,0,0,1,95.3,57.4,105.2,64.9,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Branislav Ivanović,5594,-1.4723501,16.27882,0,1,0,0,0,0,0,0,105.2,63.8,106.8,47.6,0,0,0,0,0,0,1,0,0,1,1,0,0,0
Francesc Fàbregas i Soler,3478,0.4266275,10.874742,0,0,0,0,0,0,0,1,83.2,50.9,93.1,55.4,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Willian Borges da Silva,3472,-1.9949907,3.4014702,0,0,0,0,0,0,0,1,92.2,55.4,90.8,52.3,0,0,0,0,0,0,1,0,0,1,1,0,0,1
